,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data Emissão,Série/Modelo,Documentos,Tributado,Isento,Subs. Trib.,Total,Desconto,Bruto,Liquida,Prod. Mono.
,"Cartao de Debito 986, 50 - Cartao de Credito 226, 00",,,,,,,,,
25/01/2024,1 / 65,De 80809 Até 80833,"909,8",0,0,"896,8",13,"921,8","896,8",0
,"Cartao de Debito 361, 80 - Cartao de Credito 487, 00 - Pagamento Instantâneo (PIX) 48, 00",,,,,,,,,
26/01/2024,1 / 65,De 80834 Até 80860,996,0,0,967,29,1023,967,0
,"Cartao de Debito 353, 00 - Cartao de Credito 614, 00",,,,,,,,,
27/01/2024,1 / 65,De 80861 Até 80908,"1742,5",0,0,"1718,5",24,"1737,5","1718,5",0
,"Cartao de Debito 933, 00 - Cartao de Credito 559, 00 - Pagamento Instantâneo (PIX) 226, 50",,,,,,,,,
29/01/2024,1 / 65,De 80909 Até 80942,1218,0,0,1213,5,1223,1213,0
,"Dinheiro 15, 00 - Cartao de Debito 774, 00 - Cartao de Credito 424, 00",,,,,,,,,
30/01/2024,1 / 65,De 80943 Até 80977,"1251,1",0,0,"1250,1",1,"1251,1","1250,1",0
,"Cartao de Debito 773, 10 - Cartao de Credito 382, 00 - Pagamento Instantâneo (PIX) 95, 00",,,,,,,,,
31/01/2024,1 / 65,De 80978 Até 81014,1144,0,0,1128,16,1160,1128,0
,"Dinheiro 48, 00 - Cartao de Debito 469, 50 - Cartao de Credito 610, 50",,,,,,,,,
01/02/2024,1 / 65,De 81015 Até 81052,"1514,5",0,0,"1505,5",9,"1521,5","1505,5",0
,"Cartao de Debito 1117, 50 - Cartao de Credito 388, 00",,,,,,,,,
02/02/2024,1 / 65,De 81053 Até 81088,"1684,75",0,0,"1622,75",62,"1746,75","1622,75",0
,"Cartao de Debito 694, 25 - Cartao de Credito 928, 50",,,,,,,,,
03/02/2024,1 / 65,De 81089 Até 81143,"1785,6",0,0,"1754,6",31,"1812,6","1754,6",0
,"Cartao de Debito 922, 10 - Cartao de Credito 583, 50 - Pagamento Instantâneo (PIX) 249, 00",,,,,,,,,
05/02/2024,1 / 65,De 81144 Até 81186,"1378,4",0,0,"1378,4",0,"1378,4","1378,4",0
,"Dinheiro 18, 00 - Cartao de Debito 970, 00 - Cartao de Credito 390, 40",,,,,,,,,
06/02/2024,1 / 65,De 81187 Até 81229,1644,0,0,1617,27,1669,1617,0
,"Cartao de Debito 1056, 00 - Cartao de Credito 561, 00",,,,,,,,,
