,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data Emissão,Série/Modelo,Documentos,Tributado,Isento,Subs. Trib.,Total,Desconto,Bruto,Liquida,Prod. Mono.
,"Cartao de Debito 629, 00 - Cartao de Credito 683, 70",,,,,,,,,
19/03/2024,1 / 65,De 82469 Até 82505,"1117,5",0,0,"1117,5",0,"1107,5","1117,5",0
,"Dinheiro 56, 00 - Cartao de Debito 663, 50 - Cartao de Credito 358, 00 - Pagamento Instantâneo (PIX) 40, 00",,,,,,,,,
20/03/2024,1 / 65,De 82506 Até 82532,"1068,5",0,0,"1068,5",0,"1068,5","1068,5",0
,"Cartao de Debito 895, 50 - Cartao de Credito 127, 00 - Pagamento Instantâneo (PIX) 46, 00",,,,,,,,,
21/03/2024,1 / 65,De 82533 Até 82565,1387,0,0,1379,8,1385,1379,0
,"Cartao de Debito 1149, 00 - Cartao de Credito 222, 00 - Pagamento Instantâneo (PIX) 8, 00",,,,,,,,,
22/03/2024,1 / 65,De 82566 Até 82586,707,0,0,691,16,723,691,0
,"Cartao de Debito 336, 00 - Cartao de Credito 355, 00",,,,,,,,,
23/03/2024,1 / 65,De 82587 Até 82639,"2049,7",0,0,"1990,2","59,5","2098,9","1990,2",0
,"Cartao de Debito 553, 00 - Cartao de Credito 867, 60 - Pagamento Instantâneo (PIX) 569, 60",,,,,,,,,
25/03/2024,1 / 65,De 82640 Até 82680,"1131,7",0,0,"1121,7",10,"1139,7","1121,7",0
,"Cartao de Debito 826, 70 - Cartao de Credito 295, 00",,,,,,,,,
26/03/2024,1 / 65,De 82681 Até 82714,"738,75",0,0,"736,5","2,25",741,"736,5",0
,"Dinheiro 18, 00 - Cartao de Debito 386, 00 - Cartao de Credito 332, 50",,,,,,,,,
27/03/2024,1 / 65,De 82715 Até 82743,1038,0,0,1007,31,1067,1007,0
,"Dinheiro 18, 00 - Cartao de Debito 722, 50 - Cartao de Credito 266, 50",,,,,,,,,
28/03/2024,1 / 65,De 82744 Até 82777,"1444,5",0,0,"1435,5",9,"1452,5","1435,5",0
,"Cartao de Debito 801, 50 - Cartao de Credito 634, 00",,,,,,,,,
30/03/2024,1 / 65,De 82778 Até 82844,"1710,5",0,0,"1708,5",2,"1704,5","1708,5",0
,"Dinheiro 100, 00 - Cartao de Debito 1146, 50 - Cartao de Credito 161, 00 - Pagamento Instantâneo (PIX) 301, 00",,,,,,,,,
01/04/2024,1 / 65,De 82845 Até 82879,"815,75",0,0,"807,3","8,45","824,2","807,3",0
,"Cartao de Debito 604, 30 - Cartao de Credito 203, 00",,,,,,,,,
