,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data Emissão,Série/Modelo,Documentos,Tributado,Isento,Subs. Trib.,Total,Desconto,Bruto,Liquida,Prod. Mono.
,"Cartao de Debito 1267, 60 - Cartao de Credito 323, 40 - Pagamento Instantâneo (PIX) 267, 10",,,,,,,,,
18/12/2023,1 / 65,De 79588 Até 79641,"1952,2",0,0,"1943,2",9,"1960,2","1943,2",0
,"Cartao de Debito 1191, 30 - Cartao de Credito 736, 00 - Pagamento Instantâneo (PIX) 15, 90",,,,,,,,,
19/12/2023,1 / 65,De 79642 Até 79679,"1355,5",0,0,"1329,7","25,8","1379,3","1329,7",0
,"Cartao de Debito 854, 00 - Cartao de Credito 475, 70",,,,,,,,,
20/12/2023,1 / 65,De 79680 Até 79720,"1696,1",0,0,"1693,1",3,"1693,1","1693,1",0
,"Dinheiro 19, 00 - Cartao de Debito 1387, 10 - Cartao de Credito 287, 00",,,,,,,,,
21/12/2023,1 / 65,De 79721 Até 79772,"1957,7",0,0,"1949,7",8,"1960,7","1949,7",0
,"Cartao de Debito 1112, 50 - Cartao de Credito 837, 20",,,,,,,,,
22/12/2023,1 / 65,De 79773 Até 79817,1254,0,0,1252,2,1254,1252,0
,"Dinheiro 29, 00 - Cartao de Debito 512, 50 - Cartao de Credito 710, 50",,,,,,,,,
23/12/2023,1 / 65,De 79818 Até 79870,"2036,3",0,0,"1982,3",54,"2077,4","1982,3",0
,"Dinheiro 16, 00 - Cartao de Debito 882, 40 - Cartao de Credito 751, 00 - Pagamento Instantâneo (PIX) 332, 90",,,,,,,,,
26/12/2023,1 / 65,De 79871 Até 79912,"1014,3",0,0,"1008,3",6,"1020,3","1008,3",0
,"Cartao de Debito 727, 80 - Cartao de Credito 280, 50",,,,,,,,,
27/12/2023,1 / 65,De 79913 Até 79948,1666,0,0,1640,26,1687,1640,0
,"Cartao de Debito 950, 50 - Cartao de Credito 689, 50",,,,,,,,,
28/12/2023,1 / 65,De 79949 Até 79992,1177,0,0,1177,0,1177,1177,0
,"Dinheiro 10, 00 - Cartao de Debito 856, 00 - Cartao de Credito 311, 00",,,,,,,,,
29/12/2023,1 / 65,De 79993 Até 80034,"1493,1",0,0,"1475,1",18,"1506,1","1475,1",0
,"Cartao de Debito 529, 50 - Cartao de Credito 691, 80 - Pagamento Instantâneo (PIX) 253, 80",,,,,,,,,
30/12/2023,1 / 65,De 80035 Até 80081,"1599,5",0,0,"1590,5",9,"1596,5","1590,5",0
,"Cartao de Debito 719, 50 - Cartao de Credito 811, 00 - Pagamento Instantâneo (PIX) 60, 00",,,,,,,,,
