,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data Emissão,Série/Modelo,Documentos,Tributado,Isento,Subs. Trib.,Total,Desconto,Bruto,Liquida,Prod. Mono.
24/04/2023,1 / 65,De 71637 Até 71677,"1101,7",0,0,"1101,7",0,"1099,7","1101,7",0
,"Dinheiro 35, 00 - Cartao de Debito 608, 50 - Cartao de Credito 458, 20",,,,,,,,,
25/04/2023,1 / 65,De 71678 Até 71714,"713,8",0,0,"701,6","12,2",716,"701,6",0
,"Cartao de Debito 470, 30 - Cartao de Credito 231, 30",,,,,,,,,
26/04/2023,1 / 65,De 71715 Até 71753,"1030,7",0,0,"1020,7",10,"1037,2","1020,7",0
,"Cartao de Debito 570, 70 - Cartao de Credito 302, 00 - Pagamento Instantâneo (PIX) 148, 00",,,,,,,,,
27/04/2023,1 / 65,De 71754 Até 71799,"1430,4",0,0,"1405,4",25,1453,"1405,4",0
,"Cartao de Debito 722, 10 - Cartao de Credito 683, 30",,,,,,,,,
28/04/2023,1 / 65,De 71800 Até 71829,814,0,0,806,8,810,806,0
,"Cartao de Debito 539, 00 - Cartao de Credito 241, 00 - Pagamento Instantâneo (PIX) 26, 00",,,,,,,,,
29/04/2023,1 / 65,De 71830 Até 71865,"1794,8",0,0,"1781,3","13,5","1795,5","1781,3",0
,"Cartao de Debito 725, 80 - Cartao de Credito 907, 50 - Pagamento Instantâneo (PIX) 148, 00",,,,,,,,,
02/05/2023,1 / 65,De 71866 Até 71906,1048,0,0,1044,4,"1051,5",1044,0
,"Cartao de Debito 640, 50 - Cartao de Credito 403, 50",,,,,,,,,
03/05/2023,1 / 65,De 71907 Até 71951,1350,0,0,1350,0,1349,1350,0
,"Dinheiro 136, 79 - Cartao de Debito 958, 71 - Cartao de Credito 186, 50 - Pagamento Instantâneo (PIX) 68, 00",,,,,,,,,
04/05/2023,1 / 65,De 71952 Até 71988,"982,7",0,0,"959,7",23,"994,9","959,7",0
,"Cartao de Debito 440, 90 - Cartao de Credito 379, 30 - Pagamento Instantâneo (PIX) 139, 50",,,,,,,,,
05/05/2023,1 / 65,De 71989 Até 72028,1223,0,0,"1220,6","2,4","1215,4","1220,6",0
,"Dinheiro 6, 00 - Cartao de Debito 951, 60 - Cartao de Credito 263, 00",,,,,,,,,
06/05/2023,1 / 65,De 72029 Até 72082,"1350,9",0,0,"1348,9",2,"1352,9","1348,9",0
,"Dinheiro 58, 00 - Cartao de Debito 750, 40 - Cartao de Credito 540, 50",,,,,,,,,
08/05/2023,1 / 65,De 72083 Até 72123,"1197,3",0,0,"1179,3",18,"1215,3","1179,3",0
